<Apocalypse:bucketHelm>, 桶头盔
<hbm:item.plate_lead>, 铅板
<hbm:item.plate_mixed>, 合金板
<hbm:item.plate_paa>, PaA合金板
<hbm:item.plate_polymer>, 绝缘体
<hbm:item.plate_saturnite>, 土星板
<hbm:item.plate_schrabidium>, Sa326板
<hbm:item.plate_steel>, 钢板
<hbm:item.plate_titanium>, 钛板
<hbm:item.polaroid>, 偏光片
<hbm:item.powder_actinium>, 锕粉
<hbm:item.powder_actinium_tiny>, 小撮锕粉
<hbm:item.powder_advanced_alloy>, 高级合金粉
<hbm:item.powder_aluminium>, 铝粉
<hbm:item.powder_asbestos>, 石棉粉
<hbm:item.powder_astatine>, 砹粉
<hbm:item.powder_at209>, 砹-209粉
<hbm:item.powder_au198>, 金-198粉
<hbm:item.powder_australium>, 奥斯粉
<hbm:item.powder_bakelite>, 电木粉
<hbm:item.powder_balefire>, 热核灰烬
<hbm:item.powder_beryllium>, 铍粉
<hbm:item.powder_borax>, 硼砂
<hbm:item.powder_boron>, 硼粉
<hbm:item.powder_boron_tiny>, 小撮硼粉
<hbm:item.powder_bromine>, 溴粉
<hbm:item.powder_caesium>, 铯粉
<hbm:item.powder_cerium>, 铈粉
<hbm:item.powder_cerium_tiny>, 小撮铈粉
<hbm:item.powder_chlorophyte>, 叶绿粉
<hbm:item.powder_cloud>, 云粉末
<hbm:item.powder_co60>, 钴-60粉
<hbm:item.powder_coal>, 煤粉
<hbm:item.powder_coal_tiny>, 小撮煤粉
<hbm:item.powder_cobalt>, 钴粉
<hbm:item.powder_cobalt_tiny>, 小撮钴粉
<hbm:item.powder_coltan>, 纯钽铁矿
<hbm:item.powder_coltan_ore>, 粉碎的钶钽铁矿石
<hbm:item.powder_combine_steel>, CMB钢粉
<hbm:item.powder_copper>, 铜粉
<hbm:item.powder_cs137>, 铯-137粉
<hbm:item.powder_cs137_tiny>, 小撮铯-137粉
<hbm:item.powder_daffergon>, 达夫贡粉
<hbm:item.powder_desh>, Desh粉
<hbm:item.powder_desh_mix>, Desh混合物
<hbm:item.powder_desh_ready>, DeshReady混合物
<hbm:item.powder_diamond>, 钻石粉
<hbm:item.powder_dineutronium>, 双聚中子态素粉
<hbm:item.powder_dura_steel>, 高速钢粉
<hbm:item.powder_emerald>, 绿宝石粉
<hbm:item.powder_euphemium>, Ep粉
<hbm:item.powder_fire>, 火焰粉
<hbm:item.powder_flux>, 助熔剂
<hbm:item.powder_gold>, 金粉
<hbm:item.powder_i131>, 碘-131粉
<hbm:item.powder_i131_tiny>, 小撮碘-131粉
<hbm:item.powder_ice>, 冷冻粉
<hbm:item.powder_impure_osmiridium>, 不纯铱锇粉
<hbm:item.powder_iodine>, 碘粉
<hbm:item.powder_iron>, 铁粉
<hbm:item.powder_lanthanium>, 镧粉
<hbm:item.powder_lanthanium_tiny>, 小撮镧粉
<hbm:item.powder_lapis>, 青金石粉
<hbm:item.powder_lead>, 铅粉
<hbm:item.powder_lignite>, 褐煤粉
<hbm:item.powder_lithium>, 锂粉
<hbm:item.powder_lithium_tiny>, 小撮锂粉
<hbm:item.powder_magic>, 粉碎的魔法
<hbm:item.powder_magnetized_tungsten>, 磁化钨粉
<hbm:item.powder_meteorite>, 陨石粉
<hbm:item.powder_meteorite_tiny>, 小撮陨石粉
<hbm:item.powder_neodymium>, 钕粉
<hbm:item.powder_neodymium_tiny>, 小撮钕粉
<hbm:item.powder_neptunium>, 镎粉
<hbm:item.powder_niobium>, 铌粉
<hbm:item.powder_niobium_tiny>, 小撮铌粉
<hbm:item.powder_nitan_mix>, Nitan混合物
<hbm:item.powder_paleogenite>, 古近纪岩石粉末
<hbm:item.powder_paleogenite_tiny>, 小撮古近纪岩石粉末
<hbm:item.powder_plutonium>, 钚粉
<hbm:item.powder_poison>, 剧毒粉
<hbm:item.powder_polonium>, 钋粉
<hbm:item.powder_polymer>, 聚合物粉
<hbm:item.powder_power>, 能量粉
<hbm:item.powder_quartz>, 石英粉
<hbm:item.powder_ra226>, 镭-226粉
<hbm:item.powder_red_copper>, 紫铜粉
<hbm:item.powder_reiium>, 雷恩粉
<hbm:item.powder_sawdust>, 锯末
<hbm:item.powder_schrabidate>, Sa酸铁粉
<hbm:item.powder_schrabidium>, Sa326粉
<hbm:item.powder_semtex_mix>, 塞姆汀塑胶炸药混合物
<hbm:item.powder_spark_mix>, Spark闪闪奥术混合物
<hbm:item.powder_sr90>, 锶-90粉
<hbm:item.powder_sr90_tiny>, 小撮锶-90粉末
<hbm:item.powder_steel>, 钢粉
<hbm:item.powder_steel_tiny>, 小撮钢粉
<hbm:item.powder_strontium>, 锶粉
<hbm:item.powder_tantalium>, 钽粉
<hbm:item.powder_tcalloy>, 锝-钢粉
<hbm:item.powder_tektite>, 熔融石粉
<hbm:item.powder_tennessine>, Ts粉
<hbm:item.powder_thermite>, 铝热剂
<hbm:item.powder_thorium>, 钍粉
<hbm:item.powder_titanium>, 钛粉
<hbm:item.powder_tungsten>, 钨粉
<hbm:item.powder_unobtainium>, 难得素粉
<hbm:item.powder_uranium>, 铀粉
<hbm:item.powder_verticium>, 韦德赛粉
<hbm:item.powder_weidanium>, 魏丹粉
<hbm:item.powder_xe135>, 氙-135粉
<hbm:item.powder_xe135_tiny>, 小撮氙-135粉
<hbm:item.powder_yellowcake>, 黄饼
<hbm:item.powder_zirconium>, 锆粉
<hbm:item.power_net_tool>, 电缆网络分析工具
<hbm:item.primer_357>, .357马格南底火[x24]
<hbm:item.primer_44>, .44马格南底火[x24]
<hbm:item.primer_50>, 大口径底火[x12]
<hbm:item.primer_9>, 小口径底火[x32]
<hbm:item.primer_buckshot>, 鹿弹底火[x12]
<hbm:item.protection_charm>, 守护项链
<hbm:item.prototype_kit>, 原型 套件
<hbm:item.pudding>, 布丁
<hbm:item.quartz_plutonium>, 深成石英
<hbm:item.radaway>, 消辐宁
<hbm:item.radaway_flush>, 超级消辐宁
<hbm:item.radaway_strong>, 强效消辐宁
<hbm:item.radx>, 防辐射药
<hbm:item.rag>, 布
<hbm:item.rag_damp>, 湿布
<hbm:item.rag_piss>, 沾有尿的布
<hbm:item.rbmk_fuel_balefire>, RBMK反应堆野火燃料棒
<hbm:item.rbmk_fuel_balefire_gold>, RBMK反应堆激活态金-198燃料棒
<hbm:item.rbmk_fuel_drx>, RBMK反应堆F迪伽马粒子燃料棒
<hbm:item.rbmk_fuel_empty>, 空 RBMK反应堆燃料棒
<hbm:item.rbmk_fuel_flashlead>, RBMK反应堆闪光铅燃料棒
<hbm:item.rbmk_fuel_hea241>, HEA-241 RBMK反应堆高浓缩度镅-241燃料棒
<hbm:item.rbmk_fuel_hea242>, HEA-242 RBMK反应堆高浓缩度镅-242燃料棒
<hbm:item.rbmk_fuel_heaus>, HEAus RBMK反应堆高浓缩度奥斯燃料棒
<hbm:item.rbmk_fuel_hen>, HEN RBMK反应堆高浓缩度镎燃料棒
<hbm:item.rbmk_fuel_hep>, HEP-239 RBMK反应堆高浓缩度钚-239燃料棒
<hbm:item.rbmk_fuel_hep241>, HEP-241 RBMK反应堆高浓缩度钚-241燃料棒
<hbm:item.rbmk_fuel_hes>, HES RBMK反应堆高浓缩度Sa326燃料棒
<hbm:item.rbmk_fuel_heu233>, HEU-233 RBMK反应堆高浓缩度铀-233燃料棒
<hbm:item.rbmk_fuel_heu235>, HEU-235 RBMK反应堆高浓缩度铀-235燃料棒
<hbm:item.rbmk_fuel_lea>, LEA RBMK反应堆低浓缩度镅-242燃料棒
<hbm:item.rbmk_fuel_leaus>, LEAus RBMK反应堆低浓缩度奥斯燃料棒
<hbm:item.rbmk_fuel_lep>, LEP RBMK反应堆低浓缩度钚-239燃料棒
<hbm:item.rbmk_fuel_les>, LES RBMK反应堆低浓缩度Sa326燃料棒
<hbm:item.rbmk_fuel_mea>, MEA RBMK反应堆中浓缩度镅-242燃料棒
<hbm:item.rbmk_fuel_men>, MEN RBMK反应堆中浓缩度镎-237燃料棒
<hbm:item.rbmk_fuel_mep>, MEP RBMK反应堆中浓缩度钚-239燃料棒
<hbm:item.rbmk_fuel_mes>, MES RBMK中浓缩度Sa326燃料棒
<hbm:item.rbmk_fuel_meu>, MEU RBMK中浓缩度铀-235燃料棒
<hbm:item.rbmk_fuel_mox>, MOX RBMK反应堆燃料棒
<hbm:item.rbmk_fuel_po210be>, 钋210-铍 RBMK反应堆中子源
<hbm:item.rbmk_fuel_pu238be>, 钚238-铍 RBMK反应堆中子源
<hbm:item.rbmk_fuel_ra226be>, 镭226-铍 RBMK反应堆中子源
<hbm:item.rbmk_fuel_test>, item.rbmk_fuel_test.name
<hbm:item.rbmk_fuel_thmeu>, ThMEU RBMK反应堆中浓缩度铀-235导向钍燃料棒
<hbm:item.rbmk_fuel_ueu>, NU RBMK反应堆未浓缩铀燃料棒
<hbm:item.rbmk_fuel_zfb_am_mix>, ZFB 燃料级镅RBMK反应堆燃料棒
<hbm:item.rbmk_fuel_zfb_bismuth>, ZFB 铋RBMK反应堆燃料棒
<hbm:item.rbmk_fuel_zfb_pu241>, ZFB 钚-241RBMK反应堆燃料棒
<hbm:item.rbmk_lid>, RBMK反应堆覆盖层
<hbm:item.rbmk_lid_glass>, RBMK反应堆玻璃覆盖层
<hbm:item.rbmk_pellet_balefire>, 野火燃料芯块
<hbm:item.rbmk_pellet_balefire_gold>, 激活态金-198燃料芯块
<hbm:item.rbmk_pellet_drx>, F迪伽马粒子燃料芯块
<hbm:item.rbmk_pellet_flashlead>, 闪光铅燃料芯块
<hbm:item.rbmk_pellet_hea241>, HEA-241 高浓缩度镅-241料芯块
<hbm:item.rbmk_pellet_hea242>, HEA-242 高浓缩度镅-242燃料芯块
<hbm:item.rbmk_pellet_heaus>, HEAus 高浓缩度奥斯燃料芯块
<hbm:item.rbmk_pellet_hen>, HEN 高浓缩度镎燃料芯块
<hbm:item.rbmk_pellet_hep239>, HEP-239 高浓缩度钚-239燃料芯块
<hbm:item.rbmk_pellet_hep241>, HEP-241 高浓缩度钚-241燃料芯块
<hbm:item.rbmk_pellet_hes>, HES 高浓缩度Sa-326燃料芯块
<hbm:item.rbmk_pellet_heu233>, HEU-233 高浓缩度铀-233燃料芯块
<hbm:item.rbmk_pellet_heu235>, HEU-235 高浓缩度铀-235燃料芯块
<hbm:item.rbmk_pellet_lea>, LEA 低浓缩度镅-242燃料芯块
<hbm:item.rbmk_pellet_leaus>, LEAus 低浓缩度奥斯燃料芯块
<hbm:item.rbmk_pellet_lep>, LEP 低浓缩度钚-239燃料芯块
<hbm:item.rbmk_pellet_les>, LES 低浓缩度Sa-326燃料芯块
<hbm:item.rbmk_pellet_mea>, MEA 中浓缩度镅-242燃料芯块
<hbm:item.rbmk_pellet_men>, MEN 中浓缩度镎-237燃料芯块
<hbm:item.rbmk_pellet_mep>, MEP 中浓缩度钚-239燃料芯块
<hbm:item.rbmk_pellet_mes>, MES 中浓缩度Sa-326燃料芯块
<hbm:item.rbmk_pellet_meu>, MEU 中浓缩度铀-235燃料芯块
<hbm:item.rbmk_pellet_mox>, MOX燃料芯块
<hbm:item.rbmk_pellet_po210be>, 钋210-铍 中子源芯块
<hbm:item.rbmk_pellet_pu238be>, 钚238-铍 中子源芯块
<hbm:item.rbmk_pellet_ra226be>, 镭226-铍 中子源芯块
<hbm:item.rbmk_pellet_thmeu>, ThMEU 浓缩度铀-235导向钍燃料芯块
<hbm:item.rbmk_pellet_ueu>, 未浓缩铀燃料芯块
<hbm:item.rbmk_pellet_zfb_am_mix>, ZFB 燃料级镅燃料芯块
<hbm:item.rbmk_pellet_zfb_bismuth>, ZFB 铋燃料芯块
<hbm:item.rbmk_pellet_zfb_pu241>, ZFB 钚-241燃料芯块
<hbm:item.rbmk_tool>, RBMK石墨式反应堆控制台连接装置
<hbm:item.reacher>, 钨长臂夹
<hbm:item.reactor_core>, 增殖反应堆核心
<hbm:item.reactor_sensor>, 反应堆遥感器
<hbm:item.record_glass>, 音乐唱片
<hbm:item.record_lc>, 音乐唱片
<hbm:item.record_ss>, 音乐唱片
<hbm:item.record_vc>, 音乐唱片
<hbm:item.recycled_crystal>, item.recycled_crystal.name
<hbm:item.recycled_electronic>, item.recycled_electronic.name
<hbm:item.recycled_explosive>, item.recycled_explosive.name
<hbm:item.recycled_ground>, item.recycled_ground.name
<hbm:item.recycled_metal>, item.recycled_metal.name
<hbm:item.recycled_misc>, item.recycled_misc.name
<hbm:item.recycled_nuclear>, item.recycled_nuclear.name
<hbm:item.recycled_organic>, item.recycled_organic.name
<hbm:item.recycled_refined>, item.recycled_refined.name
<hbm:item.recycled_rock>, item.recycled_rock.name
<hbm:item.redcoil_capacitor>, 红圈电容器
<hbm:item.redstone_depleted>, 不饱和红石粉
<hbm:item.redstone_sword>, 红石剑
<hbm:item.reer_graar>, The Reer Graar
<hbm:item.ring_pull>, 拉环
<hbm:item.ring_starmetal>, 星辉拉环
<hbm:item.robes_boots>, 战地靴
<hbm:item.robes_helmet>, 休闲兜帽
<hbm:item.robes_legs>, 休闲裤
<hbm:item.robes_plate>, 休闲毛衣
<hbm:item.rocket_fuel>, 固体燃料[火箭推进剂]
<hbm:item.rod>, 锂棒
<hbm:item.rod_dual>, 双联锂棒
<hbm:item.rod_dual_empty>, 空双联燃料棒
<hbm:item.rod_empty>, 空燃料棒
<hbm:item.rod_of_discord>, 混沌传送杖
<hbm:item.rod_quad>, 四联锂棒
<hbm:item.rod_quad_empty>, 空四联燃料棒
<hbm:item.rod_zirnox_empty>, 空锆诺克斯燃料棒
<hbm:item.rod_zirnox_les_fuel>, 锆诺克斯  LES低浓度Sa326燃料棒
<hbm:item.rod_zirnox_les_fuel_depleted>, 锆诺克斯 枯竭LES低浓度Sa326燃料棒
<hbm:item.rod_zirnox_lithium>, 锆诺克斯 锂燃料棒
<hbm:item.rod_zirnox_mox_fuel>, 锆诺克斯  MOX燃料棒
<hbm:item.rod_zirnox_mox_fuel_depleted>, 锆诺克斯 枯竭MOX燃料棒
<hbm:item.rod_zirnox_natural_uranium_fuel>, 锆诺克斯 天然铀燃料棒
<hbm:item.rod_zirnox_natural_uranium_fuel_depleted>, 锆诺克斯 枯竭天然铀燃料棒
<hbm:item.rod_zirnox_plutonium_fuel>, 锆诺克斯 钚燃料棒
<hbm:item.rod_zirnox_plutonium_fuel_depleted>, 锆诺克斯 枯竭钚燃料棒
<hbm:item.rod_zirnox_th232>, 锆诺克斯 钍-232燃料棒
<hbm:item.rod_zirnox_thorium_fuel>, 锆诺克斯 钍燃料棒
<hbm:item.rod_zirnox_thorium_fuel_depleted>, 锆诺克斯 枯竭钍燃料棒
<hbm:item.rod_zirnox_tritium>, 锆诺克斯 氚燃料棒
<hbm:item.rod_zirnox_u233_fuel>, 锆诺克斯 铀-233燃料棒
<hbm:item.rod_zirnox_u233_fuel_depleted>, 锆诺克斯 枯竭铀-233燃料棒
<hbm:item.rod_zirnox_u235_fuel>, 锆诺克斯 铀-235燃料棒
<hbm:item.rod_zirnox_u235_fuel_depleted>, 锆诺克斯 枯竭铀-235燃料棒
<hbm:item.rod_zirnox_uranium_fuel>, 锆诺克斯 铀燃料棒
<hbm:item.rod_zirnox_uranium_fuel_depleted>, 锆诺克斯 枯竭铀燃料棒
<hbm:item.rod_zirnox_zfb_mox>, 锆诺克斯 ZFB MOX燃料棒
<hbm:item.rod_zirnox_zfb_mox_depleted>, 锆诺克斯 ZFB 枯竭MOX燃料棒
<hbm:item.rotor_steel>, 大型钢转子
<hbm:item.rpa_boots>, 动力装甲 靴子
<hbm:item.rpa_helmet>, 动力装甲 头盔
<hbm:item.rpa_legs>, 动力护甲 护腿
<hbm:item.rpa_plate>, 动力装甲 胸甲
<hbm:item.rtg_unit>, 放射性同位素单元
<hbm:item.rubber_gloves>, 厚橡胶手套
<hbm:item.rune_blank>, 空白催化剂基质
<hbm:item.rune_dagaz>, 平衡催化剂基质
<hbm:item.rune_hagalaz>, 粗催化剂基质
<hbm:item.rune_isa>, 冷却催化剂基质
<hbm:item.rune_jera>, 增殖催化剂基质
<hbm:item.rune_thurisaz>, 添加剂催化剂基质
<hbm:item.safety_fuse>, 安全保险丝
<hbm:item.sat_base>, 卫星基座
<hbm:item.sat_chip>, 卫星ID芯片
<hbm:item.sat_coord>, 卫星指示器
<hbm:item.sat_designator>, 卫星激光指示器
<hbm:item.sat_foeq>, 实验型核能PEAF-Mk.I FOEQ Duna探测器
<hbm:item.sat_gerald>, Gerald建筑机器人
<hbm:item.sat_head_laser>, 死光发射器
<hbm:item.sat_head_mapper>, 高增益光学摄像头
<hbm:item.sat_head_radar>, 雷达天线
<hbm:item.sat_head_resonator>, Xenium共振器
<hbm:item.sat_head_scanner>, M700测量扫描仪
<hbm:item.sat_interface>, 卫星操作接口
<hbm:item.sat_laser>, 轨道死光炮
<hbm:item.sat_lunar_miner>, 月球采矿飞船
<hbm:item.sat_mapper>, 地表测绘卫星
<hbm:item.sat_miner>, 小行星采矿飞船
<hbm:item.sat_radar>, 雷达探测卫星
<hbm:item.sat_resonator>, X晶体共振卫星
<hbm:item.sat_scanner>, 绘测和资源探测卫星
<hbm:item.sawblade>, 锯片
<hbm:item.schnitzel_vegan>, “素”肉排
<hbm:item.schrabidium_axe>, Sa326斧
<hbm:item.schrabidium_boots>, Sa326靴子
<hbm:item.schrabidium_hammer>, Sa326锤
<hbm:item.schrabidium_helmet>, Sa326头盔
<hbm:item.schrabidium_hoe>, Sa326锄
<hbm:item.schrabidium_legs>, Sa326护腿
<hbm:item.schrabidium_pickaxe>, Sa326镐
<hbm:item.schrabidium_plate>, Sa326胸甲
<hbm:item.schrabidium_shovel>, Sa326锹
<hbm:item.schrabidium_sword>, Sa326剑
<hbm:item.scrap>, 废料
<hbm:item.scrap_nuclear>, 放射性废料
<hbm:item.scrap_oil>, 油性废料
<hbm:item.scrap_plastic>, 塑料废料
<hbm:item.scraps>, 铸造废料
<hbm:item.screwdriver>, 螺丝刀
<hbm:item.screwdriver_desh>, Desh螺丝刀
<hbm:item.scrumpy>, 一瓶烈性苹果酒
<hbm:item.security_boots>, 防护靴子
<hbm:item.security_helmet>, 防护头盔
<hbm:item.security_legs>, 防护裤
<hbm:item.security_plate>, 防护胸甲
<hbm:item.seg_10>, 10号连接器
<hbm:item.seg_15>, 15号连接器
<hbm:item.seg_20>, 20号连接器
<hbm:item.serum>, 血清
<hbm:item.servo_set>, 伺服装置
<hbm:item.servo_set_desh>, Desh伺服装置
<hbm:item.shackles>, 枷锁
<hbm:item.shimmer_axe>, 闪耀斧
<hbm:item.shimmer_axe_head>, 重型斧头
<hbm:item.shimmer_handle>, 强化聚合物手柄
<hbm:item.shimmer_head>, 重型锤头
<hbm:item.shimmer_sledge>, 闪耀锤
<hbm:item.singularity>, 奇点
<hbm:item.singularity_counter_resonant>, 可控反振谐奇点
<hbm:item.singularity_spark>, Spark奇点
<hbm:item.singularity_super_heated>, 超热共振奇点
<hbm:item.siox>, SiOX抗癌药物
<hbm:item.siren_track>, 警报声轨
<hbm:item.smashing_hammer>, 粉碎锤
<hbm:item.smoke1>, item.smoke1.name
<hbm:item.smoke2>, item.smoke2.name
<hbm:item.smoke3>, item.smoke3.name
<hbm:item.smoke4>, item.smoke4.name
<hbm:item.smoke5>, item.smoke5.name
<hbm:item.smoke6>, item.smoke6.name
<hbm:item.smoke7>, item.smoke7.name
<hbm:item.smoke8>, item.smoke8.name
<hbm:item.solid_fuel>, 固体燃料
<hbm:item.solid_fuel_bf>, 固体燃料（野火）
<hbm:item.solid_fuel_presto>, Presto固体燃料
<hbm:item.solid_fuel_presto_bf>, Presto固体燃料（野火）
<hbm:item.solid_fuel_presto_triplet>, 增强型Presto固体燃料
<hbm:item.solid_fuel_presto_triplet_bf>, 增强型Presto固体燃料（野火）
<hbm:item.solinium_core>, 半稳定Sa327核心
<hbm:item.solinium_igniter>, Sa327脉冲点火器
<hbm:item.solinium_kit>, 蔚蓝洗礼套件
<hbm:item.solinium_propellant>, Sa327压缩装药
<hbm:item.sopsign>, Sop标志战斧
<hbm:item.source>, item.source.name
<hbm:item.spawn_duck>, 金蛋
<hbm:item.spawn_ufo>, 火星入侵者飞船
<hbm:item.spawn_worm>, 机械蠕虫
<hbm:item.sphere_steel>, 钢球
<hbm:item.spider_milk>, 一瓶蜘蛛奶
<hbm:item.spill1>, item.spill1.name
<hbm:item.spill2>, item.spill2.name
<hbm:item.spill3>, item.spill3.name
<hbm:item.spill4>, item.spill4.name
<hbm:item.spill5>, item.spill5.name
<hbm:item.spill6>, item.spill6.name
<hbm:item.spill7>, item.spill7.name
<hbm:item.spill8>, item.spill8.name
<hbm:item.spongebob_macaroni>, 海绵宝宝通心粉
<hbm:item.stamp_357>, .357马格南锻模
<hbm:item.stamp_44>, .44马格南锻模
<hbm:item.stamp_50>, 大口径锻模
<hbm:item.stamp_9>, 小口径锻模
<hbm:item.stamp_desh_circuit>, Desh电路版锻模
<hbm:item.stamp_desh_flat>, Desh锻模
<hbm:item.stamp_desh_plate>, Desh板锻模
<hbm:item.stamp_desh_wire>, Desh电线锻模
<hbm:item.stamp_iron_circuit>, 铁质电路版锻模
<hbm:item.stamp_iron_flat>, 铁质锻模
<hbm:item.stamp_iron_plate>, 铁质板锻模
<hbm:item.stamp_iron_wire>, 铁质电线锻模
<hbm:item.stamp_obsidian_circuit>, 黑曜石电路版锻模
<hbm:item.stamp_obsidian_flat>, 黑曜石锻模
<hbm:item.stamp_obsidian_plate>, 黑曜石板锻模
<hbm:item.stamp_obsidian_wire>, 黑曜石电线锻模
<hbm:item.stamp_schrabidium_circuit>, Sa326电路版锻模
<hbm:item.stamp_schrabidium_flat>, Sa326锻模
<hbm:item.stamp_schrabidium_plate>, Sa326板锻模
<hbm:item.stamp_schrabidium_wire>, Sa326电线锻模
<hbm:item.stamp_steel_circuit>, 钢质电路版锻模
<hbm:item.stamp_steel_flat>, 钢质锻模
<hbm:item.stamp_steel_plate>, 钢质板锻模
<hbm:item.stamp_steel_wire>, 钢质电线锻模
<hbm:item.stamp_stone_circuit>, 石质电路版锻模
<hbm:item.stamp_stone_flat>, 石质锻模
<hbm:item.stamp_stone_plate>, 石质板锻模
<hbm:item.stamp_stone_wire>, 石质电线锻模
<hbm:item.stamp_titanium_circuit>, 钛质电路版锻模
<hbm:item.stamp_titanium_flat>, 钛质锻模
<hbm:item.stamp_titanium_plate>, 钛质板锻模
<hbm:item.stamp_titanium_wire>, 钛质电线锻模
<hbm:item.starmetal_axe>, 星辉斧
<hbm:item.starmetal_boots>, 星辉靴子
<hbm:item.starmetal_helmet>, 星辉头盔
<hbm:item.starmetal_hoe>, 星辉锄
<hbm:item.starmetal_legs>, 星辉护腿
<hbm:item.starmetal_pickaxe>, 星辉镐
<hbm:item.starmetal_plate>, 星辉胸甲
<hbm:item.starmetal_shovel>, 星辉锹
<hbm:item.starmetal_sword>, 星辉剑
<hbm:item.static_sandwich>, TV三明治
<hbm:item.stealth_boy>, 隐形小子
<hbm:item.steamsuit_boots>, 蒸汽动力靴子
<hbm:item.steamsuit_helmet>, 蒸汽动力呼吸器头盔
<hbm:item.steamsuit_legs>, 蒸汽动力护腿
<hbm:item.steamsuit_plate>, 蒸汽动力胸甲
<hbm:item.steel_axe>, 钢斧
<hbm:item.steel_boots>, 钢靴子
<hbm:item.steel_helmet>, 钢头盔
<hbm:item.steel_hoe>, 钢锄
<hbm:item.steel_legs>, 钢护腿
<hbm:item.steel_pickaxe>, 钢镐
<hbm:item.steel_plate>, 钢胸甲
<hbm:item.steel_shovel>, 钢锹
<hbm:item.steel_sword>, 钢剑
<hbm:item.stick_c4>, C-4炸药棒
<hbm:item.stick_dynamite>, 炸药棒
<hbm:item.stick_semtex>, 塞姆汀塑胶炸药棒
<hbm:item.stick_tnt>, TNT棒
<hbm:item.stopsign>, 停车标志战斧
<hbm:item.structure_pattern>, item.structure_pattern.name
<hbm:item.structure_randomized>, item.structure_randomized.name
<hbm:item.structure_randomly>, item.structure_randomly.name
<hbm:item.structure_single>, item.structure_single.name
<hbm:item.structure_solid>, item.structure_solid.name
<hbm:item.sulfur>, 硫粉
<hbm:item.survey_scanner>, 勘测扫描仪
<hbm:item.syringe_antidote>, 解毒剂
<hbm:item.syringe_awesome>, 米青采彡
<hbm:item.syringe_empty>, 空注射器
<hbm:item.syringe_metal_empty>, 金属注射器
<hbm:item.syringe_metal_medx>, Med-X抗痛宁
<hbm:item.syringe_metal_psycho>, Psycho"捷特"
<hbm:item.syringe_metal_stimpak>, 治疗针
<hbm:item.syringe_metal_super>, 超级治疗针
<hbm:item.syringe_mkunicorn>, 独角兽
<hbm:item.syringe_poison>, 毒针
<hbm:item.syringe_taint>, 污染水注射液
<hbm:item.t45_boots>, T45动力装甲 靴子
<hbm:item.t45_helmet>, T45动力装甲 头盔
<hbm:item.t45_kit>, T45动力装甲套装
<hbm:item.t45_legs>, T45动力装甲 护腿
<hbm:item.t45_plate>, T45动力装甲 胸甲
<hbm:item.tank_steel>, 钢罐
<hbm:item.tank_waste>, 泥浆容器
<hbm:item.telepad>, 传送部件
<hbm:item.tem_flakes>, Tem薄片
<hbm:item.template_folder>, 机器模板文件夹
<hbm:item.test_boots>, item.test_boots.name
<hbm:item.test_chestplate>, item.test_chestplate.name
<hbm:item.test_helmet>, item.test_helmet.name
<hbm:item.test_leggings>, item.test_leggings.name
<hbm:item.test_nuke_igniter>, 点火器
<hbm:item.test_nuke_propellant>, 推进剂
<hbm:item.test_nuke_tier1_bullet>, 铀235弹头[1级]
<hbm:item.test_nuke_tier1_shielding>, 中子反射器[1级]
<hbm:item.test_nuke_tier1_target>, 次临界铀235靶丸[1级]
<hbm:item.test_nuke_tier2_bullet>, MOX弹头[2级]
<hbm:item.test_nuke_tier2_shielding>, 中子反射器[2级]
<hbm:item.test_nuke_tier2_target>, 次临界MOX靶丸[2级]
<hbm:item.thermo_element>, 热电元件
<hbm:item.thruster_large>, 大型推进器
<hbm:item.thruster_medium>, 中型推进器
<hbm:item.thruster_nuclear>, LV-N核能火箭发动机
<hbm:item.thruster_small>, 小型推进器
<hbm:item.titanium_axe>, 钛斧
<hbm:item.titanium_boots>, 钛靴子
<hbm:item.titanium_filter>, 钛过滤器
<hbm:item.titanium_helmet>, 钛头盔
<hbm:item.titanium_hoe>, 钛锄
<hbm:item.titanium_legs>, 钛护腿
<hbm:item.titanium_pickaxe>, 钛镐
<hbm:item.titanium_plate>, 钛胸甲
<hbm:item.titanium_shovel>, 钛锹
<hbm:item.titanium_sword>, 钛剑
<hbm:item.toothpicks>, 牙签
<hbm:item.trinitite>, 玻璃石
<hbm:item.tritium_deuterium_cake>, 氚氘饼
<hbm:item.tsar_core>, 沙皇炸弹核心
<hbm:item.tsar_kit>, 沙皇炸弹 套件
<hbm:item.turbine_titanium>, 钛汽轮转子
<hbm:item.turbine_tungsten>, 强化汽轮转子
<hbm:item.turret_chip>, 炮塔AI芯片
<hbm:item.twinkie>, 小蛋糕
<hbm:item.ullapool_caber>, 阿勒浦长木杆
<hbm:item.undefined>, 形态未定义物质
<hbm:item.upgrade_5g>, 5G辐射发射器升级
<hbm:item.upgrade_afterburn_1>, 一级粉色机器升级
<hbm:item.upgrade_afterburn_2>, 二级粉色机器升级
<hbm:item.upgrade_afterburn_3>, 三级粉色机器升级
<hbm:item.upgrade_centrifuge>, 采矿激光升级-自动离心
<hbm:item.upgrade_crystallizer>, 采矿激光升级-自动结晶
<hbm:item.upgrade_effect_1>, 一级绿色机器升级
<hbm:item.upgrade_effect_2>, 二级绿色机器升级
<hbm:item.upgrade_effect_3>, 三级绿色机器升级
<hbm:item.upgrade_ejector>, 一级弹射速度升级
<hbm:item.upgrade_fortune_1>, 一级紫色机器升级
<hbm:item.upgrade_fortune_2>, 二级紫色机器升级
