<block:BiblioCraft:Armor Stand>, 衣架
<block:hbm:tile.hadron_coil_chlorophyte>, 致密叶绿线圈
<block:hbm:tile.hadron_coil_gold>, 致密金线圈
<block:hbm:tile.hadron_coil_magtung>, 致密4000K超导线圈
<block:hbm:tile.hadron_coil_mese>, 密集Mese线圈
<block:hbm:tile.hadron_coil_neodymium>, 致密钕线圈
<block:hbm:tile.hadron_coil_schrabidate>, 致密Sa酸铁线圈
<block:hbm:tile.hadron_coil_schrabidium>, 密集Sa326线圈
<block:hbm:tile.hadron_coil_starmetal>, 密集星辉线圈
<block:hbm:tile.hadron_core>, 粒子加速器核心组件
<block:hbm:tile.hadron_diode>, 肖基特二极管
<block:hbm:tile.hadron_plating>, 粒子加速器镀层
<block:hbm:tile.hadron_plating_black>, 粒子加速器镀层 (黑)
<block:hbm:tile.hadron_plating_blue>, 粒子加速器镀层 (蓝)
<block:hbm:tile.hadron_plating_glass>, 粒子加速器镀层 (窗口)
<block:hbm:tile.hadron_plating_striped>, 粒子加速器镀层(低温危险)
<block:hbm:tile.hadron_plating_voltz>, 粒子加速器镀层 (VOLTZ)
<block:hbm:tile.hadron_plating_yellow>, 粒子加速器镀层(YelloDye)
<block:hbm:tile.hadron_power>, 粒子加速器电源接口
<block:hbm:tile.hadron_power_100m>, 粒子加速器电源接口(100MHE)
<block:hbm:tile.hadron_power_10g>, 粒子加速器电源接口(10GHE)
<block:hbm:tile.hadron_power_10m>, 粒子加速器电源接口(10MHE)
<block:hbm:tile.hadron_power_1g>, 粒子加速器电源接口(1GHE)
<block:hbm:tile.hazmat>, 防辐射布块
<block:hbm:tile.heater_electric>, 电加热器
<block:hbm:tile.heater_firebox>, 燃烧室
<block:hbm:tile.heater_heatex>, Heat Exchanging Heater
<block:hbm:tile.heater_oilburner>, 流体燃烧器
<block:hbm:tile.heater_oven>, 加热炉
<block:hbm:tile.hev_battery>, 盔甲电池
<block:hbm:tile.impact_dirt>, 烧焦的泥土
<block:hbm:tile.iter>, 聚变反应堆
<block:hbm:tile.ladder_aluminium>, 铝制梯子
<block:hbm:tile.ladder_cobalt>, 钴制梯子
<block:hbm:tile.ladder_copper>, 铜制梯子
<block:hbm:tile.ladder_gold>, 金制梯子
<block:hbm:tile.ladder_iron>, 铁制梯子
<block:hbm:tile.ladder_lead>, 铅制梯子
<block:hbm:tile.ladder_steel>, 钢制梯子
<block:hbm:tile.ladder_sturdy>, 坚固木头制梯子
<block:hbm:tile.ladder_titanium>, 钛制梯子
<block:hbm:tile.ladder_tungsten>, 钨制梯子
<block:hbm:tile.lamp_demon>, 恶魔核心灯
<block:hbm:tile.lamp_tritium_blue_off>, 蓝色氚灯
<block:hbm:tile.lamp_tritium_blue_on>, 蓝色氚灯
<block:hbm:tile.lamp_tritium_green_off>, 绿色氚灯
<block:hbm:tile.lamp_tritium_green_on>, 绿色氚灯
<block:hbm:tile.lamp_uv_off>, tile.lamp_uv_off.name
<block:hbm:tile.lamp_uv_on>, tile.lamp_uv_on.name
<block:hbm:tile.launch_pad>, 导弹发射台
<block:hbm:tile.launch_table>, 大型发射台
<block:hbm:tile.leaves_layer>, 落叶
<block:hbm:tile.lox_barrel>, 液氧桶
<block:hbm:tile.machine_amgen>, 环境辐射发电机
<block:hbm:tile.machine_arc_furnace_off>, 电弧炉
<block:hbm:tile.machine_arc_furnace_on>, 电弧炉
<block:hbm:tile.machine_armor_table>, 装甲改装台
<block:hbm:tile.machine_assembler>, 装配机
<block:hbm:tile.machine_assemfac>, 装配厂
<block:hbm:tile.machine_autocrafter>, 自动工作台
<block:hbm:tile.machine_bat9000>, 巨尻-9000 储罐
<block:hbm:tile.machine_battery>, 蓄电池
<block:hbm:tile.machine_battery_potato>, 马铃薯电池组
<block:hbm:tile.machine_boiler>, 大型锅炉
<block:hbm:tile.machine_boiler_electric_off>, 电锅炉
<block:hbm:tile.machine_boiler_electric_on>, 电锅炉
<block:hbm:tile.machine_boiler_off>, 锅炉
<block:hbm:tile.machine_boiler_on>, 锅炉
<block:hbm:tile.machine_catalytic_cracker>, 催化裂化塔
<block:hbm:tile.machine_centrifuge>, 离心机
<block:hbm:tile.machine_chemfac>, 大型化工厂
<block:hbm:tile.machine_chemplant>, 化工厂
<block:hbm:tile.machine_chungus>, “利维坦”巨型汽轮机
<block:hbm:tile.machine_coal_off>, 火力发电机
<block:hbm:tile.machine_coal_on>, 火力发电机
<block:hbm:tile.machine_combine_factory>, CMB炼钢炉
<block:hbm:tile.machine_combustion_engine>, Industrial Combustion Engine
<block:hbm:tile.machine_condenser>, 蒸汽冷凝器
<block:hbm:tile.machine_controller>, 反应堆遥控模块
<block:hbm:tile.machine_converter_he_rf>, HE→RF转换器
<block:hbm:tile.machine_converter_rf_he>, RF→HE转换器
<block:hbm:tile.machine_crucible>, 坩埚
<block:hbm:tile.machine_crystallizer>, 矿物酸化器
<block:hbm:tile.machine_cyclotron>, 回旋加速器
<block:hbm:tile.machine_deaerator>, tile.machine_deaerator.name
<block:hbm:tile.machine_detector>, 功率检测器
<block:hbm:tile.machine_deuterium_extractor>, 氘提取器
<block:hbm:tile.machine_deuterium_tower>, 氘萃取塔
<block:hbm:tile.machine_diesel>, 柴油发电机
<block:hbm:tile.machine_difurnace_off>, 高炉
<block:hbm:tile.machine_difurnace_on>, 高炉
<block:hbm:tile.machine_difurnace_rtg_off>, 核高炉
<block:hbm:tile.machine_difurnace_rtg_on>, 核高炉
<block:hbm:tile.machine_dineutronium_battery>, Spark蓄电池
<block:hbm:tile.machine_drill>, 自动采矿钻机
<block:hbm:tile.machine_electric_furnace_off>, 电炉
<block:hbm:tile.machine_electric_furnace_on>, 电炉
<block:hbm:tile.machine_electrolyser>, tile.machine_electrolyser.name
<block:hbm:tile.machine_epress>, 电动锻压机
<block:hbm:tile.machine_fel>, FEL自由电子激光器
<block:hbm:tile.machine_fensu>, FEnSU飞轮储能系统
<block:hbm:tile.machine_flare>, 高架火炬
<block:hbm:tile.machine_fluidtank>, 储罐
<block:hbm:tile.machine_forcefield>, 力场发生器
<block:hbm:tile.machine_fracking_tower>, 水力压裂塔
<block:hbm:tile.machine_fraction_tower>, 分馏塔
<block:hbm:tile.machine_gascent>, 气体离心机
<block:hbm:tile.machine_generator>, 核反应堆[旧]
<block:hbm:tile.machine_geo>, 地热发电机
<block:hbm:tile.machine_industrial_generator>, 工业发电机
<block:hbm:tile.machine_keyforge>, 锁匠桌
<block:hbm:tile.machine_large_turbine>, 工业汽轮机
<block:hbm:tile.machine_liquefactor>, 工业液化机
<block:hbm:tile.machine_lithium_battery>, 锂蓄电池
<block:hbm:tile.machine_microwave>, 微波炉
<block:hbm:tile.machine_mining_laser>, 采矿激光
<block:hbm:tile.machine_minirtg>, 放射性同位素电池
<block:hbm:tile.machine_missile_assembly>, 导弹装配台
<block:hbm:tile.machine_nuke_furnace_off>, 核熔炉
<block:hbm:tile.machine_nuke_furnace_on>, 核熔炉
<block:hbm:tile.machine_orbus>, 重型磁约束储罐
<block:hbm:tile.machine_powerrtg>, PT同位素电池
<block:hbm:tile.machine_press>, 火力锻压机
<block:hbm:tile.machine_puf6_tank>, 六氟化钚储罐
<block:hbm:tile.machine_pumpjack>, 石油钻机
<block:hbm:tile.machine_radar>, 雷达
<block:hbm:tile.machine_radgen>, 辐射能量发电机
<block:hbm:tile.machine_radiolysis>, 放射性同位素热电机和辐射裂解室
<block:hbm:tile.machine_reactor>, 增殖反应堆
<block:hbm:tile.machine_reactor_small>, 核反应堆
<block:hbm:tile.machine_refinery>, 炼油厂
<block:hbm:tile.machine_rtg_furnace_off>, 放射性同位素热力炉[RTG]
<block:hbm:tile.machine_rtg_furnace_on>, 放射性同位素热力炉[RTG]
<block:hbm:tile.machine_rtg_grey>, 放射性同位素发电机
<block:hbm:tile.machine_satlinker>, 卫星ID管理器
<block:hbm:tile.machine_sawmill>, 斯特林锯木机
<block:hbm:tile.machine_schrabidium_battery>, Sa326蓄电池
<block:hbm:tile.machine_schrabidium_transmutator>, Sa326嬗变装置
<block:hbm:tile.machine_selenium>, 星型发动机
<block:hbm:tile.machine_shredder>, 粉碎机
<block:hbm:tile.machine_shredder_large>, tile.machine_shredder_large.name
<block:hbm:tile.machine_silex>, 激光同位素分离室
<block:hbm:tile.machine_siren>, 警报器
<block:hbm:tile.machine_solar_boiler>, 太阳能锅炉
<block:hbm:tile.machine_solidifier>, 工业固化机
<block:hbm:tile.machine_spp_bottom>, ZPE电位发生器 [底部]
<block:hbm:tile.machine_spp_top>, ZPE电位发生器 [顶部]
<block:hbm:tile.machine_steam_engine>, 蒸汽机
<block:hbm:tile.machine_stirling>, 斯特林发电机
<block:hbm:tile.machine_stirling_steel>, 重型斯特林发动机
<block:hbm:tile.machine_storage_drum>, 核废料处理桶
<block:hbm:tile.machine_teleporter>, 传送机
<block:hbm:tile.machine_tower_large>, 冷却塔
<block:hbm:tile.machine_tower_small>, 辅助冷却塔
<block:hbm:tile.machine_transformer>, 10k-20Hz变频器
<block:hbm:tile.machine_transformer_20>, 10k-1Hz变频器
<block:hbm:tile.machine_transformer_dnt>, DNT-20Hz变频器
<block:hbm:tile.machine_transformer_dnt_20>, DNT-1Hz变频器
<block:hbm:tile.machine_turbine>, 汽轮机
<block:hbm:tile.machine_turbofan>, 涡扇发动机
<block:hbm:tile.machine_uf6_tank>, 六氟化铀储罐
<block:hbm:tile.machine_waste_drum>, 乏燃料池
<block:hbm:tile.machine_well>, 钻油塔
<block:hbm:tile.machine_zirnox>, 锆诺克斯核反应堆
<block:hbm:tile.marker_structure>, 多方块结构信标
<block:hbm:tile.mass_storage>, 大规模存储单元
<block:hbm:tile.meteor_battery>, 星辉静电发生器
<block:hbm:tile.meteor_brick>, 陨石砖
<block:hbm:tile.meteor_brick_chiseled>, 錾制陨石砖
<block:hbm:tile.meteor_brick_cracked>, 裂纹陨石砖
<block:hbm:tile.meteor_brick_mossy>, 苔藓陨石砖
<block:hbm:tile.meteor_pillar>, 竖纹陨石砖
<block:hbm:tile.meteor_polished>, 平滑陨石块
<block:hbm:tile.meteor_spawner>, 赛博螃蟹组装机
<block:hbm:tile.mine_ap>, 反步兵地雷
<block:hbm:tile.mine_fat>, 核地雷
<block:hbm:tile.mine_he>, 反坦克地雷
<block:hbm:tile.mine_shrap>, 破片地雷
<block:hbm:tile.moon_turf>, 月壤
<block:hbm:tile.mud_block>, 毒泥
<block:hbm:tile.muffler>, 消声器
<block:hbm:tile.mush>, 发光真菌
<block:hbm:tile.mush_block>, tile.mush_block.name
<block:hbm:tile.mush_block_stem>, tile.mush_block_stem.name
<block:hbm:tile.ntm_dirt>, tile.dirt.name
<block:hbm:tile.nuke_boy>, 小男孩
<block:hbm:tile.nuke_custom>, 自定义核弹
<block:hbm:tile.nuke_fleija>, F.L.E.I.J.A.
<block:hbm:tile.nuke_fstbmb>, BF炸弹
<block:hbm:tile.nuke_gadget>, 小玩意
<block:hbm:tile.nuke_man>, 胖子
<block:hbm:tile.nuke_mike>, 常青藤迈克
<block:hbm:tile.nuke_n2>, N2炸弹
<block:hbm:tile.nuke_n45>, N45水雷
<block:hbm:tile.nuke_prototype>, 原型
<block:hbm:tile.nuke_solinium>, 蔚蓝洗礼
<block:hbm:tile.nuke_tsar>, 沙皇炸弹
<block:hbm:tile.obj_tester>, tile.obj_tester.name
<block:hbm:tile.oil_duct>, 输油管
<block:hbm:tile.oil_duct_solid>, 粗输油管
<block:hbm:tile.oil_pipe>, 原油抽取管
<block:hbm:tile.ore_alexandrite>, 亚历山大变石矿
<block:hbm:tile.ore_aluminium>, 铝矿石
<block:hbm:tile.ore_asbestos>, 石棉矿
<block:hbm:tile.ore_australium>, 奥斯矿石
<block:hbm:tile.ore_bedrock_coltan>, 基岩钶钽铁矿
<block:hbm:tile.ore_bedrock_oil>, 基岩油层
<block:hbm:tile.ore_beryllium>, 铍矿石
<block:hbm:tile.ore_cinnebar>, 朱砂矿石
<block:hbm:tile.ore_coal_oil>, 含油煤矿石
<block:hbm:tile.ore_coal_oil_burning>, 燃烧的含油煤矿石
<block:hbm:tile.ore_cobalt>, 钴矿石
<block:hbm:tile.ore_coltan>, 钶钽铁矿
<block:hbm:tile.ore_copper>, 铜矿石
<block:hbm:tile.ore_daffergon>, 达夫贡矿石
<block:hbm:tile.ore_depth_borax>, 深层硼砂矿
<block:hbm:tile.ore_depth_cinnebar>, 深层朱砂矿石
<block:hbm:tile.ore_depth_nether_neodymium>, 深层钕矿石
<block:hbm:tile.ore_depth_zirconium>, 深层锆矿石
<block:hbm:tile.ore_fluorite>, 氟石矿石
<block:hbm:tile.ore_gneiss_asbestos>, 石棉矿页岩
<block:hbm:tile.ore_gneiss_copper>, 铜矿页岩
<block:hbm:tile.ore_gneiss_gas>, 气页岩
<block:hbm:tile.ore_gneiss_gold>, 金矿页岩
<block:hbm:tile.ore_gneiss_iron>, 铁矿页岩
<block:hbm:tile.ore_gneiss_lithium>, 锂矿页岩
<block:hbm:tile.ore_gneiss_rare>, 稀土矿页岩
<block:hbm:tile.ore_gneiss_schrabidium>, Sa326矿页岩
<block:hbm:tile.ore_gneiss_uranium>, 铀矿页岩
<block:hbm:tile.ore_gneiss_uranium_scorched>, 烧焦的铀矿页岩
<block:hbm:tile.ore_lead>, 铅矿石
<block:hbm:tile.ore_lignite>, 褐煤矿石
<block:hbm:tile.ore_meteor_aluminium>, 铝矿陨石
<block:hbm:tile.ore_meteor_copper>, 铜矿陨石
<block:hbm:tile.ore_meteor_lead>, 铅矿陨石
<block:hbm:tile.ore_meteor_lithium>, 锂矿陨石
<block:hbm:tile.ore_meteor_starmetal>, 星辉矿陨石
<block:hbm:tile.ore_meteor_sulfur>, 硫磺矿陨石
<block:hbm:tile.ore_meteor_thorium>, 钍矿陨石
<block:hbm:tile.ore_meteor_titanium>, 钛矿陨石
<block:hbm:tile.ore_meteor_tungsten>, 钨矿陨石
<block:hbm:tile.ore_meteor_uranium>, 铀矿陨石
<block:hbm:tile.ore_nether_coal>, 燃烧下界煤矿
<block:hbm:tile.ore_nether_cobalt>, 下界钴矿石
<block:hbm:tile.ore_nether_fire>, 火矿石
<block:hbm:tile.ore_nether_plutonium>, 下界钚矿石
<block:hbm:tile.ore_nether_schrabidium>, 下界Sa326矿石
<block:hbm:tile.ore_nether_smoldering>, 阴燃下界岩
<block:hbm:tile.ore_nether_sulfur>, 下界硫磺矿石
<block:hbm:tile.ore_nether_tungsten>, 下界钨矿石
<block:hbm:tile.ore_nether_uranium>, 下界铀矿石
<block:hbm:tile.ore_nether_uranium_scorched>, 烧焦的下界铀矿石
<block:hbm:tile.ore_niter>, 硝石矿石
<block:hbm:tile.ore_oil>, 油岩
<block:hbm:tile.ore_oil_empty>, 空油岩
<block:hbm:tile.ore_oil_sand>, 沥青砂
<block:hbm:tile.ore_random>, %s 矿
<block:hbm:tile.ore_rare>, 稀土矿石
<block:hbm:tile.ore_reiium>, 雷恩矿石
<block:hbm:tile.ore_schrabidium>, Sa326矿石
<block:hbm:tile.ore_sulfur>, 硫磺矿石
<block:hbm:tile.ore_tektite_osmiridium>, 渗锇熔融石
<block:hbm:tile.ore_thorium>, 钍矿石
<block:hbm:tile.ore_tikite>, 赛瑞克矿石
<block:hbm:tile.ore_titanium>, 钛矿石
<block:hbm:tile.ore_tungsten>, 钨矿石
<block:hbm:tile.ore_unobtainium>, 难得素矿石
<block:hbm:tile.ore_uranium>, 铀矿石
<block:hbm:tile.ore_uranium_scorched>, 烧焦的铀矿石
<block:hbm:tile.ore_verticium>, 韦德赛矿石
<block:hbm:tile.ore_weidanium>, 魏丹矿石
<block:hbm:tile.pink_barrel>, 煤油桶
<block:hbm:tile.pink_double_slab>, tile.pink_double_slab.name
<block:hbm:tile.pink_log>, 粉色原木
<block:hbm:tile.pink_planks>, 粉色木板
<block:hbm:tile.pink_slab>, 粉色木半砖
<block:hbm:tile.pink_stairs>, 粉色木台阶
<block:hbm:tile.plant_dead>, 死亡植物
<block:hbm:tile.plant_flower>, tile.plant_flower.name
<block:hbm:tile.plant_reeds>, 芦苇
<block:hbm:tile.plasma>, 等离子
<block:hbm:tile.plasma_heater>, 等离子加热器
<block:hbm:tile.pole_satellite_receiver>, 卫星天线
<block:hbm:tile.pole_top>, 天线顶部
<block:hbm:tile.press_preheater>, 锻压机压力预热器
<block:hbm:tile.pribris>, RBMK石墨式反应堆残骸
<block:hbm:tile.pribris_burning>, 燃烧的RBMK反应堆残骸
<block:hbm:tile.pribris_digamma>, 发黑的RBMK反应堆残骸
<block:hbm:tile.pribris_radiating>, 阴燃的RBMK反应堆残骸
<block:hbm:tile.radio_torch_receiver>, 无线电接收器上的红石
<block:hbm:tile.radio_torch_sender>, 无线电发射机上的红石
<block:hbm:tile.radiobox>, 无线怪物清除箱
<block:hbm:tile.radiorec>, 坏掉的收音机
<block:hbm:tile.rail_booster>, 高速动力轨道
<block:hbm:tile.rail_highspeed>, 高速轨道
<block:hbm:tile.rail_narrow>, 窄轨距轨道
<block:hbm:tile.rail_wood>, 木制轨道
<block:hbm:tile.rbmk_absorber>, RBMK反应堆硼中子吸收器
<block:hbm:tile.rbmk_blank>, RBMK反应堆结构柱
<block:hbm:tile.rbmk_boiler>, RBMK反应堆蒸汽管道
<block:hbm:tile.rbmk_console>, RBMK石墨式反应堆控制台
<block:hbm:tile.rbmk_control>, RBMK反应堆控制棒
<block:hbm:tile.rbmk_control_auto>, RBMK反应堆自动控制棒
<block:hbm:tile.rbmk_control_mod>,  RBMK反应堆慢化控制棒
<block:hbm:tile.rbmk_cooler>, RBMK冷却器
<block:hbm:tile.rbmk_crane_console>, RBMK起重机控制台
<block:hbm:tile.rbmk_heater>, RBMK流体加热器
<block:hbm:tile.rbmk_heatex>, RBMK换热器
<block:hbm:tile.rbmk_loader>, RBMK反应堆蒸汽导出器
<block:hbm:tile.rbmk_moderator>, RBMK反应堆石墨慢化剂
<block:hbm:tile.rbmk_outgasser>, RBMK反应堆辐照通道
<block:hbm:tile.rbmk_reflector>, RBMK反应堆碳化钨中子反射器
<block:hbm:tile.rbmk_rod>, RBMK反应堆燃料棒
<block:hbm:tile.rbmk_rod_mod>,  RBMK反应堆慢化燃料棒
<block:hbm:tile.rbmk_rod_reasim>,  RBMK反应堆燃料棒(ReaSim)
<block:hbm:tile.rbmk_rod_reasim_mod>,  RBMK反应堆慢化燃料棒(ReaSim)
<block:hbm:tile.rbmk_steam_inlet>, RBMK ReaSim进水口
<block:hbm:tile.rbmk_steam_outlet>, RBMK ReaSim蒸汽出口
<block:hbm:tile.rbmk_storage>, RBMK燃料棒存储棒
<block:hbm:tile.reactor_computer>, 反应堆控制器
<block:hbm:tile.reactor_conductor>, 反应堆锅炉
<block:hbm:tile.reactor_control>, 控制棒
<block:hbm:tile.reactor_ejector>, 反应堆废料排出器
<block:hbm:tile.reactor_element>, 反应堆室
<block:hbm:tile.reactor_hatch>, 反应堆端口
<block:hbm:tile.reactor_inserter>, 反应堆燃料插入器
<block:hbm:tile.red_barrel>, 炸药桶
<block:hbm:tile.red_cable>, 紫铜电线
<block:hbm:tile.red_cable_classic>, 紫铜电缆（经典型）
<block:hbm:tile.red_connector>, 电力连接器
<block:hbm:tile.red_pylon>, 电线杆
<block:hbm:tile.red_pylon_large>, 大型输电塔
<block:hbm:tile.red_wire_coated>, 密封紫铜电缆
<block:hbm:tile.reinforced_brick>, 强化石头
<block:hbm:tile.reinforced_brick_stairs>, 钢筋石楼梯
<block:hbm:tile.reinforced_ducrete>, 加固高密度贫铀混凝土
<block:hbm:tile.reinforced_glass>, 强化玻璃
<block:hbm:tile.reinforced_lamp_off>, 强化红石灯
<block:hbm:tile.reinforced_lamp_on>, 强化红石灯
<block:hbm:tile.reinforced_light>, 强化萤石
<block:hbm:tile.reinforced_sand>, 强化砂石
<block:hbm:tile.reinforced_stone>, 致密石头
<block:hbm:tile.reinforced_stone_stairs>, 致密石头楼梯
<block:hbm:tile.residue>, 云残留
<block:hbm:tile.safe>, 保险箱
<block:hbm:tile.sand_boron>, 硼砂
<block:hbm:tile.sand_boron_layer>, 硼砂层
<block:hbm:tile.sand_dirty>, 油砂
<block:hbm:tile.sand_dirty_red>, 红色油砂
<block:hbm:tile.sand_gold>, 金沙
<block:hbm:tile.sand_gold198>, 金-198沙
<block:hbm:tile.sand_lead>, 铅沙
<block:hbm:tile.sand_polonium>, 钋沙
<block:hbm:tile.sand_quartz>, 石英砂
<block:hbm:tile.sand_uranium>, 铀沙
<block:hbm:tile.sat_dock>, 卸货平台
<block:hbm:tile.sat_foeq>, 实验型核能PEAF-Mk.I FOEQ Duna探测器[装饰块]
<block:hbm:tile.sat_laser>, 轨道死光炮[装饰块]
<block:hbm:tile.sat_mapper>, 地表测绘卫星[装饰块]
<block:hbm:tile.sat_radar>, 雷达探测卫星[装饰块]
<block:hbm:tile.sat_resonator>, X晶体共振卫星[装饰块]
<block:hbm:tile.sat_scanner>, 绘测和资源探测卫星[装饰块]
<block:hbm:tile.schrabidic_block>, Sa酸
<block:hbm:tile.seal_controller>, 发射井舱门开关
<block:hbm:tile.seal_frame>, 发射井舱门框架
<block:hbm:tile.seal_hatch>, 发射井舱门
<block:hbm:tile.sellafield>, tile.sellafield.name
<block:hbm:tile.sellafield_slaked>, 消沉的放射性熔融凝固物
<block:hbm:tile.semtex>, 塞姆汀塑胶炸药
<block:hbm:tile.siege_circuit>, tile.siege_circuit.name
<block:hbm:tile.siege_emergency>, tile.siege_emergency.name
<block:hbm:tile.siege_hole>, tile.siege_hole.name
<block:hbm:tile.siege_internal>, tile.siege_internal.name
<block:hbm:tile.siege_shield>, tile.siege_shield.name
<block:hbm:tile.snowglobe>, tile.snowglobe.name
<block:hbm:tile.solar_mirror>, 定日镜
<block:hbm:tile.soyuz_capsule>, 货物着陆舱
<block:hbm:tile.soyuz_launcher>, 联盟号发射平台
<block:hbm:tile.spikes>, 地刺
<block:hbm:tile.stalactite>, tile.stalactite.name
<block:hbm:tile.stalagmite>, tile.stalagmite.name
<block:hbm:tile.steel_beam>, 钢梁
<block:hbm:tile.steel_corner>, 钢墙角
<block:hbm:tile.steel_grate>, 钢格栅
<block:hbm:tile.steel_poles>, 钢杆
<block:hbm:tile.steel_roof>, 钢天花顶
<block:hbm:tile.steel_scaffold>, 钢脚手架
<block:hbm:tile.steel_wall>, 钢墙
<block:hbm:tile.stone_cracked>, 破碎的石头
<block:hbm:tile.stone_depth>, 深层岩石
<block:hbm:tile.stone_depth_nether>, 下界深层岩石
<block:hbm:tile.stone_gneiss>, 石墨页岩
<block:hbm:tile.stone_porous>, 多孔石
<block:hbm:tile.stone_resource>, tile.stone_resource.name
<block:hbm:tile.struct_iter_core>, 聚变反应堆核心组件
<block:hbm:tile.struct_launcher>, 发射台部件
<block:hbm:tile.struct_launcher_core>, 紧凑型发射台核心组件
<block:hbm:tile.struct_launcher_core_large>, 发射台核心组件
<block:hbm:tile.struct_plasma_core>, 等离子加热器核心组件
<block:hbm:tile.struct_scaffold>, 发射台骨架
<block:hbm:tile.struct_soyuz_core>, 联盟号发射器核心组件
<block:hbm:tile.structure_anchor>, tile.structure_anchor.name
<block:hbm:tile.substation>, 变电站
<block:hbm:tile.sulfuric_acid_block>, 硫酸
<block:hbm:tile.taint>, 腐质
<block:hbm:tile.taint_barrel>, IMP残渣桶
<block:hbm:tile.tape_recorder>, 录音机
<block:hbm:tile.tektite>, 熔融石
<block:hbm:tile.teleanchor>, 传送锚
<block:hbm:tile.tesla>, 特斯拉线圈
<block:hbm:tile.test_bomb>, tile.test_bomb.name
<block:hbm:tile.test_bomb_advanced>, tile.test_bomb_advanced.name
<block:hbm:tile.test_charge>, tile.test_charge.name
<block:hbm:tile.test_core>, tile.test_core.name
<block:hbm:tile.test_ct>, tile.test_ct.name
<block:hbm:tile.test_nuke>, 测试核弹
<block:hbm:tile.test_pipe>, tile.test_pipe.name
<block:hbm:tile.test_rail>, tile.test_rail.name
<block:hbm:tile.test_render>, tile.test_render.name
<block:hbm:tile.therm_endo>, 吸热炸弹
<block:hbm:tile.therm_exo>, 放热炸弹
<block:hbm:tile.tile_lab>, 实验室瓷砖
<block:hbm:tile.tile_lab_broken>, 破损实验室瓷砖
<block:hbm:tile.tile_lab_cracked>, 开裂实验室瓷砖
<block:hbm:tile.tnt_ntm>, 货真价实的TNT
<block:hbm:tile.toxic_block>, 绿色软泥
<block:hbm:tile.transission_hatch>, tile.transission_hatch.name
<block:hbm:tile.transition_seal>, 巨型安全门
<block:hbm:tile.turret_arty>, 重炮炮塔“格雷格”
<block:hbm:tile.turret_brandon>, tile.turret_brandon.name
<block:hbm:tile.turret_chekhov>, 重机枪炮塔“契诃夫的枪”
<block:hbm:tile.turret_friendly>, 轻机枪炮塔“友好先生”
<block:hbm:tile.turret_fritz>, 重型火焰喷射器炮塔“弗里茨”
<block:hbm:tile.turret_himars>, 火箭炮塔“亨利”
<block:hbm:tile.turret_howard>, 双联守门员近防系统“霍华德”
<block:hbm:tile.turret_howard_damaged>, CIWS双联守门员近防系统 "玛士撒拉"
<block:hbm:tile.turret_jeremy>, 重炮炮塔“杰里米”
<block:hbm:tile.turret_maxwell>, 高能微波炮塔 "麦克斯韦"
<block:hbm:tile.turret_richard>, 火箭炮塔“理查德”
<block:hbm:tile.turret_tauon>, XVL1456原型陶子发射器炮塔"陶恩"
<block:hbm:tile.vacuum>, 真空
<block:hbm:tile.vault_door>, 避难所防爆门
<block:hbm:tile.vent_chlorine>, 氯气排气口
<block:hbm:tile.vent_chlorine_seal>, 氯气容器
<block:hbm:tile.vent_cloud>, 云排气口
<block:hbm:tile.vent_pink_cloud>, 粉色云排气口
<block:hbm:tile.vinyl_tile>, tile.vinyl_tile.name
<block:hbm:tile.vitrified_barrel>, 玻璃化核废料桶
<block:hbm:tile.volcanic_lava_block>, 火山熔岩
<block:hbm:tile.volcano_core>, 火山核心
<block:hbm:tile.waste_earth>, 死亡草地
<block:hbm:tile.waste_leaves>, 枯叶
<block:hbm:tile.waste_log>, 烧焦原木
<block:hbm:tile.waste_mycelium>, 发光菌丝
<block:hbm:tile.waste_planks>, 烧焦木板
<block:hbm:tile.waste_trinitite>, 核融玻璃矿石
<block:hbm:tile.waste_trinitite_red>, 红色核融玻璃矿石
<block:hbm:tile.watz>, tile.watz.name
<block:hbm:tile.watz_conductor>, Watz电力端口
<block:hbm:tile.watz_control>, 加强控制棒
<block:hbm:tile.watz_cooler>, Watz反应堆过冷器
<block:hbm:tile.watz_core>, Watz反应堆控制器
<block:hbm:tile.watz_element>, Watz反应室
<block:hbm:tile.watz_end>, Watz反应堆稳定元件
<block:hbm:tile.watz_hatch>, Watz反应堆端口
<block:hbm:tile.yellow_barrel>, 核废料桶
<block:hbm:tile.zirnox_destroyed>, 损毁的ZINROX
<block:imsm:BlockAirBalloon>, Magic Airballoon Block
<block:imsm:BlockAirplane>, Magic Airplane Block
<block:imsm:BlockArena1>, Magic Arena Block
<block:imsm:BlockArena2>, Magic Lava-Arena Block
<block:imsm:BlockBigPyramid>, Magic Huge Pyramid Block
<block:imsm:BlockBoat>, Magic Boat Block
<block:imsm:BlockBunker>, Magic Bunker Block
<block:imsm:BlockCastleTower>, Magic CastleTower Block
<block:imsm:BlockCosyHouse>, Snow Covered House
<block:imsm:BlockDungeon>, Magic Dungeon Block
<block:imsm:BlockEnchantmentRoom>, Magic Enchantment Room Block
<block:imsm:BlockFarm>, Magic Wheat Farm Block
<block:imsm:BlockFarm2>, Magic Sugar Cane Farm Block
<block:imsm:BlockFarm3>, Magic Melon Farm Block
<block:imsm:BlockFarm4>, Magic Pumpkin Farm Block
<block:imsm:BlockGiantTree>, Magic Huge Tree Block
<block:imsm:BlockHountedHouse>, Magic Haunted House Block
